ids,sentence,sentiment
mag_155,हमरो मुंहमा में पानी आ gelai भईया😂😂😂😂,mix
mag_065,Bahute acha laglau VP bhaia....Aisne video aur vanaho...,positive
mag_150,Bhaiya aap log plurals party ko support kijeaa bhaiya. Unpar bhi video bnaeaa oo ak bihar k lea umidd lekar aae hii.,positive
mag_092,Yugla ke samne labahu darshak ke demand h,positive
mag_175,खूब जिय हो,positive
mag_138,चाचा को प्रणाम करें हिये।।।,positive
mag_076,"Vishwajeet भैया तोर आवाज मे बकई जादू हको 👌 तोर आगे  Pawan , Khesari सब फेल हो  तू मगध के शान हका जय मगध जय बिहार जय नालंदा 💪",positive
mag_190,Aaj ke Video mein ego madad kariyo Pehle zindagi jhand howa halo Ab zindagi New zealand ho gelo🤣🤣😂🤣😂,negative
mag_088,बहुत  bhadhiya हलो जी एकदम अभी समय यही चले थाबा,positive
mag_091,Phonma lagba na kara ho,neutral
mag_165,"Hahahahahahaahaa Very nice!!! Bachpan yaad aa gayalai , aisahi hobahai bantwara ........",positive
mag_154,अरे भोजवा में जे पुड़िया जलेबिया और रासगुल्लवा चांपमहीं ओकर टैक्स भी तो लगतई नs त ओहि टैक्स के रूप में बाल ले लेलथुन हे नरेश मामू😂😂😂 और बिट्टू भैया टैक्स के चोरी कर लेलथुन हे,negative
mag_123,Maiya K lai bagh helai re,positive
mag_096,Etna masala de dehi ki subah lahre lago hau 🤣🤣🤣🤣,negative
mag_223,jehanabad k hahu ka bhaiya,positive
mag_156,प्रणाम जी हम भी तोर सस्क्राइबार  हिओ धियान दिहा...,negative
mag_102,ये भैया सिलाव बाली भौजी के तो हम्ही लगैबो 😂😂😂😂,positive
mag_142,"छैठ मैया के गोर लागै छी 🙏🙏 P.S :- बड्ड नीक वीडियोअय भाई, मोन प्रसन्न भौ गेल",positive
mag_106,Hamni ke Shan maghdhi boys,positive
mag_127,Yhi haal h hmre bihar ka mre mausa ke bhai ka corona se maut ho gya katrisarai m bt avi tak unke ghar walo ka  na corona checkp kiya gya na unke ghar ko sanitiz kiya gya chotte chotte bache h sb dare hue h bt sarkar parsasn sb soya h,negative
mag_113,Gorba me kauchi holo Bhaiya 😭😭😭😭😭😭😭😭😭😭  E n ho sakta hai CSK hi jitega 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏 CSK.......... CSK........ CSK.........,positive
mag_204,majaa aaa gailo bhai🙏,positive
mag_232,Ekdm baja faar delhi bhailog,positive
mag_050,Bahut achha salah delu ki e na holai bat,positive
mag_170,Yha phone se jyada lathi charge hota hai🤣,negative
mag_157,Ekdum Shi bolalu masshahb r ,positive
mag_133,Epic😂😂😂 great sarcasm 🥰🥰 'vichar kijiye nitish Kumar' Jai Shri ram toh thk h Jai Hind v bol dethu Hal tb or achha lgte hl😶😶,negative
mag_064,विश्वजीत भैया आप  हमारे बड़े भैया हो खैनी  देबो,positive
mag_162,ऐड्रेसबा लीख देवल करहो और गूगल लोकेशन भी शेयर कर देहो,positive
mag_167,"क्या बात है, युगल भैया मन और दिल जितलेला। अद्भुत।।",positive
mag_202,"ऐसन थाना पुलिस के आग न lagaitai t kochi karatai. Kal phiro sab निर्दोष जनता पर गोली chalabe ला जिंदा chhodatai. Tuho का बात kara हू 😠😠जब जाने thai की न्याय debe वाला ही अन्याय पर उतर ailai हे. जनता के अभय करे वाला ही भय phailabe laglai हे t okar थाना, isab बचा के kauchi kartai okara me to isab जल्लाद तैयार करल जा hai.",negative
mag_059,धनरुआ के खूबी के लाई पर भी बनाइये सम्राट होटल धनरुआ मसौढ़ी पटना,positive
mag_131,E baar ehe gaana baaji pura Holi mai❤️,positive
mag_177,"बहुत बढ़िया बात बतैली हा, देख के एक दम दिल खुश हो गइल बा",positive
mag_099,Best line hamar Maiya bhi to yhi Bhasa ne bola hai,positive
mag_180,Bahut badhiya acting कईलू है भैया... हमनी के तरफ से बहुत धन्यवाद है आपको. My favourite line..... ये क्या बोल रहे हैं आप 😂😂😂,positive
mag_055,भईया हो हम त गया से हिओ.. कभी आइबो उधर त जरूर खैबो।🙏,positive
mag_053,मोदीजी के घर के पैसा न हइ,negative
mag_063,मन कर है चिनपिंगवा से चाउमीन बनवाबे🤣🤣🤣😂,negative
mag_101,आज भी बिहार पुलिस के सिपाही के परीक्षा के question आउट हो गेलो...,negative
mag_128,बड़ी बढ़िया हलौ भैबा भले देखे वाला काम हौ पर जे हौ से तोर अप्पन हौ,mix
mag_212,भाई मै सहमत हू पर कुछ तो दिखाते काम करता भी है कि नहीं। ।। खाली वीडियो बना दिए।।। टाटा बिड़ला सोल्डिंग और ग्लू खाली थोरे ना देखेगे।।,negative
mag_218,सावन में लहसुन प्याज़ मुर्गा खस्सी के के मिस कर रहल हे? ई वीडियो के शेयर करहु दोस्त लोग जोरे,positive
mag_171,Ee bhaiya ego mauka da na ho,positive
mag_080,एगो हमरो गांव के देले हलई एल आई आईसी रेनेवल करेला ओकरो c कटल हलई भइया 🙏🏻🙏🏻,negative
mag_129,Layikiyo 😂😂,neutral
mag_193,"*ऐसे कैसे कॉरोना से निजात पैबई जी, ई कोचि हो रहलाई है,हमरो योगा सिखबा जी*😂😀😊😁🤣😉😎😉😍😉😍*",negative
mag_188,Tani magahi me bolatuh hal ta aur maja aete hal ,positive
mag_220,Thanks bhaiya.... Mere comment ko sunne k liye....rajkumar jii k dookaan kako block ka litti chokhaa aau gulaabjaamun...😂😂,positive
mag_205,"वर्ल्ड कप ख़तम हो गेलव, अब तनि हमनी के बेरोजगारी के जिम्मेदार 'नीकु' 'सूमो' जइसन नेतवन के कान खोलबहुँ भइया",negative
mag_109,Dekhiye Pyaar Vyaar Kijiye Lekin Gharre Se Bhaga Ke Mat Le jaahun Maiya Baabu Samaaj Sab Chhoot JaitoVideo Achha Laglo ta Share Kar dihaaAu Instagram Pe Bhi Magdhi Boys Ko Follow Kar lijiega😊Har Har Mahadev ,positive
mag_125,भाषा पर अभिमान हमर छै,positive
mag_104,Bahut Acha Sir hamu tohar sath hiyo,positive
mag_144,जल्दी से सब कोई मगधी बॉयज के 100K  के परिवार पूरा कर दहु।,positive
mag_217,tu sb hmr last video p krle comment k sfl kae delh,positive
mag_100,बहुत ही मीठा गाना लगित हाव भाई,positive
mag_130,Maja aa galai ho,positive
mag_105,अबकी हमहुं नाम दर्ज़ करवा लियय का भईया??😅,negative
mag_120,बहुत बढ़िया जीमगही हमनी के शान हे,positive
mag_119,Jiyoh bhaiwa garda urrraaa delhin ho,positive
mag_067,AAU Aurangabad ke choriye delhun sir ji,positive
mag_074,इहे ह हमरो भासा,positive
mag_124,E magahi bhasha to na halai,negative
mag_146,लैकि ले के उडै 🤣🤣❤👍,negative
mag_182,Bawal ba,positive
mag_148,Mara taa burbakva ke Saar maal ke phone debe ke chakar me Paisa duba delva,negative
mag_221,Bhut badhiya kavita hako ji,positive
mag_192,"दर्द के मरहम हहूँ तोहनी दुनो , गोड़ छू के गोड़ लागा हिओ, बस ऐसेहिं मुहीम छेड़ले रह बाकी हमनी त हइये ही साथे। जय मगध, जय बिहार,जय हिंद🇮🇳",positive
mag_103,Garda Garda uda di ho,positive
mag_187,अपने लोग इ पर जादे ध्यान देइ,neutral
mag_098,Famous dialog to all mother... Papa dai laga ke gailn ha... 😂😂,mix
mag_112,Bharat ke sab bhasa ek दूसरा से जुरल chhai,positive
mag_176,हमहु अभी ईहे दुख से गुजरीत हि😂,negative
mag_094,Magahi ke yaad didla delhu bhaiyabadi badhiya laglo sun ke,positive
mag_111,Bahutte achaa  lagalo Jii !,positive
mag_203,बहुत बढ़िया लगलौ भैया  ऐसैन विडियो देखकर हौसला मजबूत हो जा है भैया,positive
mag_178,नमस्कार भैयाजी । माताजी और बाबूजी के हमर तरफ से प्रणाम बोलोखल। तोहर विडिओ मन खुश करदेहखो।,positive
mag_168,Mauga madhar chooodddd,negative
mag_181,Jio bihar ke lal🔥🔥🔥 love you bhaiya,positive
mag_121,गया के राह कोरमथू 😘❤️❤️ साग - भात 🤗,positive
mag_062,Bhaiwa hmm bhe islampur se heautu hmra khali bolta hallhmm turant check kar lete hall,positive
mag_082,भाई हम्हू तोहार पड़ोसी छिये पूर्णियां से। जिए हो बिहार के लाला,positive
mag_159,Mazza aa gelo dekh ke....... 😂😂😂👍👍,positive
mag_132,Bahut sahi salah dehla ha,positive
mag_143,Aap ka gao ka kya naam h or koon district h,neutral
mag_230,जानकारी गलत नई दी ..  बिहार में मात्रे टा भाषा छै .. 1. मैथिली (अंगिका आ बज्जिका बोली ) 2. भोजपुरी 3. मगही  बिहार में सबसँ ज्यादा मैथिली भाषा बोलल/बाजल जाईत अछि .,negative
mag_213,दुनिया बोलहे अपन अपन भाषा मग्‍हिया के तो हई हमनीए से ना आसा,negative
mag_066,Ek bar hum hu fas jaitio hal  same situation tha uu bola ki courier se jayega paisa online dene ko bola t hum samjh gaye ki froud hai hum bole hand to hand Mobile do or paisa lo t jan hu turante phone ma kat delko or etefak se uhoo islampur re se bol rha tha hum gaya se hai,mix
mag_057,Bihar police Bala me bhi ehi Hal halaiy ho,negative
mag_215,Bejod ke pura team ke dhanyavadDil chhuwe Wala Kavita ba ji,positive
mag_107,dher jaruri kadam uthve ke chahi aapan magahi bhasha ke bachave ke,positive
mag_200,muhwa me mut detau re🤣,negative
mag_145,Jabardasth acting VP bhai ...or ooro se dhaakad ...tohr Aawaz ...😍😍😍👌👌👌...aur chotko bhai Saab ...mst acting kra hakin 😍😍😀😀,positive
mag_225,Hindi humani ke mausi oor Maai Bhojpuri,positive
mag_058,Jabardas maja aa galotoo gud bro,positive
mag_196,I want to treat my mom and dad at taj hotel from my first salary...Few months to go... p.s: Uncleji ke rasgulla khila denhu ji😂,positive
mag_068,Bahut achhe Sir Ji...  Nik vartalaap chail... Enhaite video banail  Karu...Jai Maithli Jai Mithila...,positive
mag_163,Aaj dharailaw he jugla bhaiya🤣😂🤣,positive
mag_166,दलित जनसंख्या खूब बढ़ गया है रोक लागहु,negative
mag_194,बहुत निमन काज क रहन छि अहा,negative
mag_086,Bri maza aa gaelo bhaiya,positive
mag_224,युगल भईया शादी बियाह पर पूरा जोड़ दे हहु जल्दी हई 😂😂,positive
mag_211,"Av just khaja kaa k dekh rhe h video😍😍""turu lubb""",positive
mag_219,Ek dum jhakas video khati magahiya,positive
mag_097,Muha me moot dtomza aa glo bhaiwa,negative
mag_227,Sarwaaaa Youtube Commentwwaa Off Kar Delko Hal. Kaise Kaise kar ke On karwailiyo hey. Ab Jamm ke Comment Karhu aur Share Karhu Khoob Humach ke 💖🙏💖,positive
mag_208,चचा तो चचा है कुछो कह देते हैं,negative
mag_153,Wahh bhaiya gajab lagal baaa ek din sab mil kar programme kijiye good 👍👍 keep it up,positive
mag_197,Piche se ke hulki thalthun bhaiya 😂😂... Btw awesome video  Maza aa gelo...Ghare ke yaad aa gelo,negative
mag_139,Tuhani ke ghar khana hau yr,neutral
mag_141,जिओह रे लाल,positive
mag_072,एक वीडियो और बनाहू जेकरा मे करिया गेहूँ के उपजाबे के बिधि बताहू,positive
mag_201,na hamar 3 ke na 13 ke.... 😂😂😂 khali magahiya me nay angiko me bada famous dialogue hai....!!!,positive
mag_089,Mast mast 👍 maza aaya abuse word's (gali) sunei ke liye.😃,positive
mag_191,Es leye ham kah sakte hai ki tribac is bet institute for medical and iit including board,positive
mag_147,Bahut badhiyan laglo bhiyaa,positive
mag_149,तनी हमनी के आवाज बनहु भईया 🙏 बिहार शिक्षक नियोजन,positive
mag_179,Ja chacha miss kar delhu,neutral
mag_164,सुनीत खनी अइसन लगीत हलो कि हम अपन माय के गोदी में सुतल ही और उ हमार माथा पर हाथ फेरीत हथीन,positive
mag_174,HT..chalyea..hoga sab,positive
mag_169,Number de Bhai tuhani apan,positive
mag_087,"Na, sarir me putti laga ke ghume padi😂😂😂",negative
mag_122,शेयर करहु जेतना हो सके उतना शेयर करहु हल। ई वीडियो के 1 लाख व्यू पहुँचाहु।,positive
mag_056,Pranam bhaiyaau SB thik hako,positive
mag_161,I have seen you in TVF/TSP  Badi badhiya  kataksh kara hu bhaiyaa ,positive
mag_151,Aaj grahan lagtai ta sab kahe thai ki 12 ghanta phle khanwa kha lewe k hai ta bhukhwa na lagtai bhaiya......  Kuch nidaan nikalhu ekra pe butru na hiai bhiaa bhukle bachbai,mix
mag_078,"बहुत नेक काम कलहू डॉक्टर साहब से मिलाके , बहुत बहुत धन्यवाद",positive
