sentence,sentiment
हम हु जहानाबाद से लौट गइली,neutral
Khub accha bol rahlo hau ji🙏,positive
बराबर रन  बनेलकै तइयो हैर गेलै रे Reservation देलकै रे 😂😂😂 Best Bhai,mix
Aurangabad me vi magahi bolhathi sir,positive
Hmro bhaiya abhi tk railway wala joining na delko h,negative
ई होले असली ब्लोगवा...  एकदम देशी ❤❤,positive
Khatarnaak video hawa.. england wala sab SC/ST rahe ka 🤣🤣,positive
Ekdame thik kahlu,positive
गजब हलो जी,positive
बुद्धिवर्धक टॉपिक गर्दा,positive
ठीक कहलू भाए जी 👍🏼,positive
"MUHMA ME MUT DETAU RE"""" AWXXXM LIMES",negative
Phone lagal नखे ho,negative
Bhaiya tu hamar favourite ho gela humhu patna se hua tuhar video bhut acha lga habaa.kabhi patna aahu 🥰😙,positive
Bhaiya ye bhi पूछिये की हमसे बियाह करियेगा ☺️ 😛 #nikkyboyeee,positive
e vedio.. bhut bekar laga yaar..👎,negative
Hm raja bajar se hai,positive
Jugal bhaiya samne kahe ne aavi thau?,negative
Tel ke चक्कर मे telhndi lewe😂😂😂,negative
Khet ke aari katela hmni bihar ke log ke purana etihas haee ho bhaiya..,positive
ससति पूजा चलित है जी। मुर्गवा मार रहलु हे। भूल गेलहुँ का,negative
ई बतकुच्चन🤣,positive
Permotoin ka paisbo lee hu bahiya,negative
भाई तू बहुत मस्त विडियो बनाबय,positive
"हिला देलहुँ विश्वा भाई, गजब गैलहुँ गनवा ।।",positive
Modi ji aaj tak koi nahi press conference me aaya h,negative
Ka युगल pechaan रहे हो कैसे हो,positive
Ye yugal bhiya dulhaniyo rakho ho hamra to dulhaniyo chahiye😂😂😂,negative
हमहूं हियो नवादा के भैयबा ।😊,positive
Ekdum hilaa ke rakh delho,positive
Aam Jhora Piye gelthun HAL Dhoni chh  Ram jatra mana lelthun,positive
हम हु जहानाबाद से लौट गइली,positive
हमर नाम ले लो,positive
कईसे जबई घरे,negative
हम शेखपुरा जिला से हाई मर्दे,positive
अंग देश के तरफ से परनाम .....बड़का भैया के🙏🙏🙏🙏,positive
chacha ke match kahe nhi dikhate h bhaiya e to galat ho,negative
"जिया हो बिहार के लाला, जिया तू हजार साला। अरे यह ही तरह बिहार के नाम आगे बढ़ाव ऐ भैया।",positive
Bejod bhaiyalo. Bs aaprahine  YouTube pr regular rha kijiye. Qki avi bihar ke kaafi mudda pr aaplo ku6 v nhi bole h bhai ji. Un sb topic pr aaplo video bnaiye aapke next video ka intezar krenge❤❤,mix
Tore Bhai hathu ka Bhaiya,positive
ई हुआ ना खतरनाक मुद्दा❤️❤️🙏😅:-):-),positive
बहुत अच्छा लागल हमरा के!! कईसे भूला दी ई भाषा के,positive
इतना दिन पर कहे आते है जल्दी जल्दी आया कीजिए,negative
"तोहर jor ke hu naho, तु बेजोर हहु हो😌, साधु बाद",positive
आप मगधी नहीं बिहार की शान हैं 😘🙏🙏 लभ यू फ्रॉम बक्सर ❤️🙏,positive
Hit he bhai,positive
फिर सर के धर लेबै😂,negative
फाड़ delhu बिहार के. System ke,negative
तोरा दोनो के सामने सलमान खान शारुखखान अमीर खान अजय देवगनसब फैल है जी हमको बिहारी होने पे इतना गरब है कि बता नय सक्लीवो हा जी तोर दोनो के वीडियो देखो हीवो तो मन खुश हो जाहो,positive
"केकरो मारहू चाहे ना, मंगलवा पर जरूर एगो मरवा  दियहू।",negative
ऐ भाईया तु मोदी जी के ताग खींचे ही की बचा रहनु हे,negative
Lekin larki bhaga ke n ji n🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,positive
बहुत सलीका वाला परिवार हई लगले रहिय और अच्छा विडियो पोस्ट करते रहिय हमनी तो फैन हो गेलियो। 💐 💐,positive
एक बात बोलियो जी ? पुरा के पुरा मगहिये भषबा में काहे न बोलअ हहु ?,negative
Muhwa mei mut detauu 😁😁😁,positive
बहुत ही बढ़िया रहा हस्ते हस्ते पेट फूल गया। आम के पेड़ से आमादा तोड़ के लाओ... अरे जो 😂🤣😂😂 I like you all team and all of you work is very respectfully Super se bhi upper Bole to that's Awesome ❤️❤️❤️❤️❤️❤️,positive
Bas Bas hoga lai. 😂😂😂😂😂,positive
Dil chhu gelaoooSahi me ho,positive
Viswajeet bhaiya ...T shirtwa mst lg rhlau...Kha se lelhu ha?,positive
11th -12 th Yad aa gelo bhai sab... Bahutt sundar,positive
@3:45 ओन्ने कौची देखित हीं 🤣,negative
हम जहानाबाद के हिओ भइयाजिला जहानाबाद ह,positive
Are bhaiva Garda uda dio yaar 😊😊🙏🙏,positive
e sab dekha ke dehat ke aadmi ke tensan debu,negative
लुर नहीं सहूर होता है,negative
Bhaiya ham bhi jehanabad se hi hiyaie hamro gaoon me la hai,positive
तोहनी आपसे में लड़लहू ओरा से समाज के बढ़िया संदेश देलहुँ। भाई-भाई आज बिखर रल ह। बाबू जी कब तक इ सहतीन। अब तो आपसी लड़ईया से सभे बंट जइतो। आपस में मिल के रहिय अ बाबू जी के भी साथ जरूर रखिअ जीवन खुशहाल रहतो।,positive
कहा तोहनी हल ह इतना दिन से😂😂😂  तनी जल्दी जल्दी विडोवा लाबल कर भईया😂😂🔥❤️❤️❤️🔥🔥🔥🙏👍👍👍👍,positive
Hum hu magadhi,positive
Badam khai se buddhi nai aba haii,negative
Bari maaza ayelo,positive
Ka video hai,neutral
Bhai love you and your work Love from Nawada (मगध) प्रणाम करा हियो❤️,positive
अपन मगही भाषा पे व्याकरण लिखे के चाह हलई।,positive
बेरोजगार लोग खूब रामायण देखे है ई लॉकडाउन में। खूब अच्छा से जोड़ पाएंगे ई गाना को।,positive
Bahut nik chhe👌👌👌👌👌,positive
फोनवा कट गया है चचा 😂😂😜😜,negative
Bahut achha laglo video dekh k aaj kal k generation k ek achha message jitai,positive
Achha laglo ji,positive
Ab aapka Bari subscribe please,positive
"ग्रेट भईया ग्रेट, मोदी जी हथि की एक कदम स्वच्छता की ओर आउ इहा कोई के फर्क न पड़ रहलै हे, पूरा भिन्जा के मार रहलहुँ हे । एतना में नीतीश सरकार के धोतिये खुल जताई।",negative
गजब रे भैईवा उखाड़ देल्हे हो Jai Ho Magdhi,positive
"ई पैमार नदी हई, परवलपुर से 12 किलोमीटर दक्षिण बसंतपुर और हरबंशबीघा गाँव के बीच में पड़ हई । और हम वीडियो बना के नहैलि हल ।😆",positive
एकदम बढ़िया.....!👌👌👌 अपन भाषा 🥰मगही🥰 के मिठास बहुते शुकून दे है...!! गाना बहुत बढ़िया लगलो!,positive
"Tota maar ghat relo hey..., Na debau jo na Debbau jo...😂😂humhu 15 marliye aur tuhu 15 marle ta world cupwa tu kaise rakhlahi rey.. humara de cupwa... omg 😂😂😂😂😂😂😂😂",mix
हमहुँ जब दिन भर अंग्रेजिया बोल के थक जा हिये ने तऊ संझिया में माई से मगहिये में बतिया हिये जी,mix
Nalanda से हू न जी त magdhi कैसे बोलहू जी.. .. बताहिह तो जी... 😊😊😊 हमहू गया से हियही इसीलिए पूछेतियई   😊😊😊😊😘😘,positive
बड़ी मज़ा आ gelo देख के...😂😂,positive
Jiii Baat....👏,positive
हम सब नै बोलभो त भुला जैतो ई भासा!!,mix
मैथिली बिहारक राजभाषा नहि अछि ...,negative
Bhai एक बार बसंत पर आइए जहा हजारों students को मुफ्त में सरकारी जॉब की तैयारी कराई जाती हैं 2008 से,positive
खली बिहारे के नै छै,positive
Eri ke cheri ke nauaa ke brahil ka matlab...,neutral
Ye bhiya hum abhi 8 me me haeu,positive
Tohni bahot gajab kar content banaw hiya ...laagal rahiye ❤️❤️❤️❤️.,positive
Maza aa gayile ho..,positive
Miss u SSR 😭😭,positive
झुलनी रे झुलनी काहे धोखा देहली😊😊,negative
Ek dum thik khlthun sir jee ,positive
वीडियो बहुत मस्त लगलो भईया जी ❤ सुपर ❤❤❤,positive
"Chicha, TSP ke Ravish ki report me chimney banal Hain..😂 Maar cigarette daru k Garda udaile hain",positive
भावना सेहो चेहरा पर बड्ड नीक आ रहल अछि 😂😂 मुदा ढेर प्रेम दुनु गोटा कें,positive
एक बार  फ़र्ज़ी शिक्षक का मामला भी उठा देहु हो बहोत लोग भर्ती होवल यकीन सगरो ।,negative
जब तेरे चीकू थे सब उसके पीछू थे जब तेरे आम हुये रोज कत्ल ए आम हुए जब तेरे खरबूज हुए बड़े बड़े अजूबे हुए जब तेरे झूल गए तो सब उसे भूल गए 😀😂😂,negative
मगहीया के तो है हमनीये से ना आशा,negative
Ntpc lelle re fufa,negative
Dekhiye Pyaar Vyaar Kijiye Lekin Gharre Se Bhaga Ke Mat Le jaahun .Maiya Baabu Samaaj Sab Chhoot Jaito.Video Achha Laglo ta Share Kar dihaa.Au Instagram Pe Bhi Magdhi Boys Ko Follow Kar lijiega😊Har Har Mahadev .,mix
Bhaiya hamra bata dijiye pyar ki Hobe hai? 🤣🤣,mix
Sahi bolhlo bhaiyaimotional kar delho ji,positive
Badhiya kaam kari thaaisan hi content based dalal kara,positive
Are biKiya ab samajh mein alau,negative
jio ho maghiya bhai,positive
तब त जल्दी से लोग सब के सब सुविधा छिन के आदिमानव बनवा दहू जल्दी विश्वगुरू बन जइतव देश,negative
गया ज़िला के तरफ से वंदन अभिनन्दन हव तोहनि दुनू के 🙏,positive
Ee dekho andh bhakt kaglo k andh bhakt banabe k tender lele h ekri,negative
Master g mar kaise delan are e sb k  sabd km h bhì ki e sb k goolii mare ki choro kya khe shbd km h,negative
Ehe dono sab youtuber par bhari,positive
Bhula ke maghi khali hindye kise bolvo huzur,negative
Marde dukh ee baat ke naay he ki hamreen haar galiyo dukh hain hamreen ke dhoni ke jaaveke,positive
कलयुग आगेलो भया 🙏,positive
Ham hiya magahi bole wala,positive
Tohni best chahu original wala se..👌🏻👌🏻,positive
क्लास में इंट्री तो धासू कर्लहु भईया एक दम बवाल जी।,positive
🙏🙏🙏👍👍👍❤️❤️ dhane bad bhai g 🙏👍 ye BJP or Nitish Kumar chor mil kar Desh ko barbad kar diya 🙏🙏🙏❤️👍👍,mix
"सपना हो गेलो, हरियर चुरा, भुनजा, मांड भात, सतुआ, परौठा, खिचड़ी, खेसारी के साग,  जाँतआ, धेकी, लठ्ठा कुड़ी, हर पालो, करिंग, रेहत्, आउ काउचि काउचि बियाख्या करियो मुकेश साहेब के गीत यादे हो😌.... कहाँ गये वो दिन.......",negative
दीनानाथ चौरसिया फ्रॉम गया बिहार से मगध के गौरव हहू भईया तोहनी,positive
MUHMA ME MUT DETAU RE,negative
Bhai maghi otna na samjh aata lekin  ab aave lga h  mst vdo banave la ho,positive
मजा आ गेलो भैया,positive
ढेर येकरा में सारुख खान बनब तु 😂😂😂😂🥰🥰🥰,positive
"काला गेंहू अबकी बार लगावे के सोचलै हीउ भैया हमहू अपन खेत में,, कांटेक्ट नंबर दाहू और हमरा जानकारी दाहु की कैसे कैसे एकर प्रोसेस हई।।। जय बिहार",positive
Mokama में भी ढ़ेर भीर हलय हो 😀😀,positive
दही बड़ा बचपन में हमरो ठीक न लगहलऊ लेकिन अब बहुत अच्छा लगह ऊ love from Aurangabad 😊😍🙏,positive
अरे भोजवा में जे पुड़िया जलेबिया और रासगुल्लवा चांपमहीं ओकर टैक्स भी तो लगतई नs ..... त ओहि टैक्स के रूप में बाल ले लेलथुन हे नरेश मामू...😂😂😂 और बिट्टू भैया टैक्स के चोरी कर लेलथुन हे,negative
Bhaiya ji kl aap logo ko dekhe the thakur badi me... Yugal bhaiya pochka khaet halkhun.,neutral
सबसे अच्छा लगलौ हो कि नेपाल कुछो कह के खुश हो जाहै।,positive
Halka me leba to lalka me chal jaeb magdhi boy's ke halke me mat lih,positive
Sahi kar lo bhai  pyar kare wala bhaga le n jaa hay,positive
भैया हमरो दरभंगा एहने हौ।।।।,positive
हम सब नै बोलभो त भुला जैतै ई भाषा” एकदम तीर जैसन लगलै बहुत बहुत धन्यवाद ई कविता लगी🙏,positive
Akhiya me lor aa galo e kavitwa sun ke 😭😭😭,positive
"Jiya ho Bihar k Lala, congratulations dr saheb aise hi sab logal k khayal rakha... Magadhi boys k v subhkamna ...",positive
हमरा पास कोई शब्द न हवअ कि तोहर ई कविता के बडाइ कर सकियो,positive
love from chandigarh...................     hmhu bihar se bhaiwa,positive
इ सरकार निक्कमा हो आज कल परसों करतो इ सब जगह एहे हब उपर से लेकर नीचे तक।,negative
अपन परमपारिक।  वीचार केय प्रकट कैलों  ऐखन समाज इह कुरिति बहुत बैढ रहल छैक। इह कविता केय माध्यम सौं सभ गोटेय मूल विचार केय उभार के प्रयास केयलौं। धन्यवाद,positive
एकबार जूही भाभी के ले आहू न सामने... टनमना जिथुन भैया जी 😅❤,positive
अरे भैया 13 के पहाड़ा सुनिये न  मज़ा आ जायेगा,positive
Bhiyaa dill chuu liyee Hum app se mile ge bhiyaa jahanabad aye ge toh love u bhiyaa,positive
0:52-garam hoyel hathi bhai... (Mst),positive
"भईया आप लोगों का जिगरा बहुत है, ऐसे बात करना बिना हिचकिचाहट का सब की बस की बात नहीं है।❤️❤️❤️❤️👍👍👍👍",positive
Mission हरियाली नूरसराय 👍🙏,positive
Humara ke pata haaai tohani k baat m gahra matlab raha haba,positive
Lekin modiyo bihar la 0 kailko he,negative
मन गद गद हो गैईलको भईया गजब न प्रस्तुती हवा की जय हिन्द जय भारत।❤🇮🇳❤,positive
Baut aacha lago hau,positive
हा रे बुड़बक,negative
Part3 apparing bale pe banaeye humro bake h final exam,positive
Sahi bat hai ho bssc abhi tk result na delkye he bihar sarkar saurav singh kosla nawada,negative
Bahute badhiya likhla ha,positive
हमरो पेंड के व्यवस्था हो जाएत हमर गांव में लगवावे ला हल,positive
Aaj hamare tarph se jai Magadh jai Bihar,positive
पेटवा खखोर दे हैं 😁😁,positive
भाव बड़ी मस्त बा ,positive
jugal kane ho ajkal. kaha ghuriya rale hai tohni dono ke jodi ke video bahut janta miss kar rale hai to jugal ke sath bhi ek video fir se bana dehi  ho. waise cacha ji to vidhayak laga hathin apne ke,positive
Maa ❤️ love you ! ! Kabhi bhi maa ka gaali se or bhasha se sharminda mat hona koi ...yhi pyar k lie kitna jan tarasta hai,positive
Jia ho Bihar ke Lala ❤️❤️,positive
"Jay ho bihar k lala , love  you bro 💜💜💜💜 Jo bihar se hai like karo",positive
भईया लोग तनी बाढ़ और पुलिया जे टूटलाई हे ओकरो पर एगो वीडियो बना देहुं।,negative
Gzb ❤️ hoo,positive
are gjb ho bhaiya,positive
जय मगधीया,positive
"जिनका जिनका हंसी बरलो हे, उ सब से निहोरा हो कि शेयर कर दिहु हल ❤️😍❤️",positive
cacha ji ke gor laga hiyo aur bhai ji ke jay shree ram waise bahut shandar video  jao jhar ke,negative
पुरा india के ई हाल है भी पी भैया  ,negative
Mst h ho bhai,positive
कनवा मे से धूवा निकलित हौ 😂😂👌,positive
एकदंम सही कहलु भैया 🌴🌱🌱🎄🌲🌳🌳🌳,positive
Jharkhand के ढेर मनि जिलवेन मे तोहरा के मगहि बोलल जा हे,positive
"#New Hit Song~हसेलू त हमरो उमर लग जाए ||Pawan Singh Sad Song,",positive
हम्मे बतावा हियो का चल रहलो होत दुन्नो टीमा में,neutral
Seher me Teri jeet se  Hmare haar ke charche hai . Wah hila deli bhaibha,positive
बहुत ही बढ़िया जबरदस्त वीडियो बनलव हे भईया😍😍👌👌,positive
"Fatt k ho gailau, 74 🤣",negative
Gaya par bhi tani dhyan debe kahiyaha,negative
Dutt hum to yhi soch k dekhit halio ki sachhe me koi aisan saap ho😂😂,positive
Ki bat bole Dela tu ?,neutral
हमरा ई वीडियो बहुते अच्छा लगले भैय्या हम चाहअई कि ऐसे ही वीडियो बनाते रहौ,positive
Jharkhand se hu,positive
ई किताब कहाँ मिलते,neutral
बहुत ही नेचुरल तरीके से मगही में मैच का विश्लेषण किया आप दोनों ने। ऐसे मगही को बढ़ाते रहें। जय मगध।। जय मगही।।,positive
भईया हो तू ही बिहार के शान ह हो बिहार के सरकार हमारे चचा गाँजा पी के फूल रहते है उनको थोर भी श्रम नही है की जनता का  kaaa जरूरत है उसको सिर्फ गांजा  पीना है,negative
Mausa hathin tor😂😂😂😂,negative
DhaperNari jantai hai bhaiya jee ayai kavi,positive
Khub badhiya likhathu he,positive
Mausa haltun kon to 🤣,positive
Ye bhiya tani ek baar hamro guru ji (khan sir)  k interview le leho ne bahut accha lagtai hamni k,positive
की हाल भाय     भागलपुर वाला कॉमेंट में दहारी दोहो,positive
सुब्रत राय सहारा के तुलना तो निरव मोदी से कर देलहूँ भैया पहीले इनका बारे मे पुरा जान लेतहूँ हल तब ई बतीया बोलतहूँ हल।,negative
"बहुत मजा ऐलो, तू दुन्नु के जोड़ी सुपरहिट लगा हक्को .. 👌👌 बाकी लोग भी धीरे धीरे जुड़तहुँ, बड़ा काम होवे में समय त लगबे करा है । तब तक हमनी सब रंग जमायते रहबै 😊😊",positive
टैलेंट हो भईया... गियारी तो धरबे करतो.. आज धरो चाहे कल धरो।,positive
वाह भाई मने खुश कर डेलो,positive
बहुत मस्त बोलल तू भईया।,positive
"सर, आहां का स्टाइल हम का अच्छा लागत छि। Thanks a lot sir ji.🙏",positive
बाते तो दूर तक पहुंचाई जाएगी 👌😂😂 2 hmara,mix
Bhaiya hamahu magahiye se hie maja aa gelo tuhni dunu ke e Jodi jabardast hako bhaiya,positive
Jioooo bhaiya hilauyal,positive
कतरीसराई में ये गोरख धंधा के base point है जरा ओकरो देख लेहु,negative
बहुत बेस हमरा उनका से मिले के है,positive
वाह विस्वा भैया गीत फिर पूरे भारत मे ट्रेंड होतैय।,positive
जिया हो भाई विश्वजीत!!👍👍❤,positive
Bharat ka anmol ratan hi mahi,positive
Badi badhiya gana hwa ho bhaiya lagl rha,positive
युगल भैया के कौन बात के धर्म संकट है  Rvcj  में हमेशा वेटर बनने से अच्छा है ना कि अपन चैनल में हीरो बने में,positive
मगही कवितानयका जमाना के पतोह,positive
बड़का बाबु के बेटवा के कोसचन पहले हिं बिल गेलै हल😍😍😍😍,positive
"Bhaiya, Pandit ji ka ghand phar Chena PANCHANPUR GAYA me bahute prasid hai, waha bhi Aago video banathin.",negative
Lalantop bhai ji 😘😘,positive
डेकोरेशन लगी हमरा से contect कर हम इसलामपुर के हिओ। सस्ते में हो जैतो।😎😎😎😂😎,positive
😭😭 Rula dele ho ye babua 😭😭,negative
Sab lutera ho gelo he,negative
"बहुत बढ़िया गीत बनलहु हे भइया, ऐसेही आगे भी हमनी सब के आवाज उठावित रहियहू।",positive
Kon se district se hu  bhaiya..,neutral
"A bhiya, starting ganwa k link hawa t bheja na",positive
Congress waala thoke detkhun bhaiya 🤪🤣🤣🤣🤣🤣,negative
Are kahe lee jaghra kare ho bhai saheb.... 😍😍😍😍,positive
बहुते धन्यवाद नितिन जी,positive
Are hmar coachingba re,positive
कखनी ऐलु कखनि निकल गेलआ...महाराज 🙏। Meetup करअ अकाद बार गया में❤️❤️,positive
Bhaiya Rajiv dixit par video बनाई ।,positive
Bilkul sahi kahe hai bhaiya 😔😔😔 Lots of love from Champaran ❤️🙏,positive
Badhiyan..tohar Safar badhiyan rahen. Good luck bro. 👍,positive
Nalanda se kaa,neutral
Gana pura gawe k rahe bhiya,positive
Kon kon garialu nowa pe,negative
हम तअ ललचा गेलिओ हो।। हमरा मुँह में पानी आ गेलो....😊,positive
Video k caption kauchi delhu h ji?,negative
"ग़ज़ब भैया ... मनबा गद गद हो जा है, तोहिनी सब बिहार  के बिकास के बात करहु तह !!!!! बहुत  भरोसा  है  हमनी  सब  के ... बिहार  के युवा सब  के !",positive
Nalnda jila she Bhaiya mayja awo ho. Tor Vidio dekh ke.  Chacha ke hamar. Parnam 🙏🙏🙏🙏🙏,positive
Hlo Bhaiya ham Banka se he,positive
"हम ""राहुल राज"" आज पहिला बार तोहन लोगिन के Video देखलुआ हे...         बहुत बढ़िया बढ़िया विषय पर तोहन लोगिन Video बनावSS हहुँ",positive
रूला देलहो तु त हमरा,negative
Kuchh dhamakedar bnabhu Holi aabit hai,positive
Dil khus delho bhaiya❤️,positive
छा गेलहुँ हो भाई.... हमहु बज्जिका में कुछो करे  के चाहित हतीऔ।,positive
वाह मज़ा आ गेलो,positive
हमर लिखल मगही कविता अपनैलोग सुनथी जाहमर फ़ोटो के छू के हमर चैनल प जाथिन या निचवा में कुछ मगही कविता के लिंक देत हीओ जा जरूर सुनी जा,positive
Bejod ho yugal bhai au viswajeet bhai. Good nyt,positive
Bhaiya ji hm to pura emotional ho gaili rowe lgli dekh hmbhot nic poem,positive
Tu SB magadh k grv hv,positive
है ता हिमरे भाषा छोड़बे तानही,negative
sahi kahlu bhaiya ek din bhulaa jaytay sabhe,positive
जियो हो पियुष भाई तु बिहार के गौरव हो भाई जय बिहार जय बिहार जय भारत🇮🇳🇮🇳🇮🇳🇮🇳🚩👍🏅🏅🏅🏅🏆👍👍,positive
ज़बरदस्त ! बहुत अच्छा। नाटक करे के छमता ज़बरदस्त हउ भइवा। फिलिम बना सकले ह। Go ahead ! All the best....,positive
मजा आगेलो भैया। वीडियो देख के। अब से हमहो मघी में लिखवो।  जय मघी। जय बिहार ।,positive
Decockwa dhoon delkau😀😀😀😀,positive
मैंया तो हमर एहे भासवा वोल है,positive
Meharauru pasta Ka saukin 😂😂,negative
दुन्नु चाचाजी के प्रणाम है । दुनहु के जोश देखते बना है । नयका चच्चा त एकदमे गोसाल हखिन । 😂😂 इनखा गलतीयो से भी चीन बॉर्डर पर न जाय दिहो भैया नै त ई अकेले गर्दा छोड़ा देथिन 🤣🤣,negative
Sune Me Aile Ho Ki Tohni Video Share Kare Me Nakhra Kara Hahun. Dekha Aise Naa Karaa Jetna Share Karmahun Otna Badhiya Rahto Magadhi Lagi.,mix
दिल छू देलको तोहर इ दोहाहमे सबे से बस इहे कहे ले चहो हिआे मगही भाषा हम सब के पहचान है हम सब के माई के समान है एकरा के छोड़ नय देहो हल इ भाषा के बचावे के जिम्मेदारी हमही सब के हय जादे से जादे एरा अपन उपयोग में लाहोजय मगध,positive
2015: काहे करें विचार ठीक है तो है नीतीश कुमार 2020: करना पड़ेगा विचार क्योंकि ई है लौड़ा का सरकार 😈😈,negative
गेहुआ के बीज कहा मिल्तय भैया,neutral
Ironma hum lebo re🤣🤣...Serious message in comedy way🙏🙏,positive
लाल पिला मिलाकर तोहरा हारा single Dilbyboo 🤣🤣🤣🤣,negative
Nitish kumar choor hako,negative
Hm jana haliaee,neutral
जरी मनी हमरो पर्चर करा मर्दे,positive
अपन परमपारिक  वीचार केय प्रकट कैलों  ऐखन समाज इह कुरिति बहुत बैढ रहल छैक,mix
Jugal bhaiya reply karhu kuchh 3 episode se 1st like comment share krit hi 😀😀,positive
Last me mja aa gelo bhaiwan😂,positive
मदरनिये नीतीश कुमार जी 😂😂😂😂,negative
Rula delu bhaiya 😔,positive
Jio bhaiya Garda uda delhu,positive
Haahaa gajab pariwar haye bapa sab eka par ek hathin.sab k pass knowledge k bhandar haye .Maja aagelo .chachi aur chachi ji k gur chu k parnam,positive
वीडियो बढ़िया लगते तौ लाइक करहु और शेयर करहु,positive
Badi mast comentator hakho man galeyo,positive
Viswajeet bhaiya T shirtwa mst lg rhlauKha se lelhu ha?,positive
