sentence,sentiment
Kon kon 2023 may sun rahe ho❤,neutral
भैया बिहार शिक्षक नियोजन के अभ्यर्थियों के     समस्या पर वीडियो बनाइये,positive
Thanks sir nice video... Sir aap to junoon aur bhi badha deye hai.. padhne ke prati.. Love you sir.  Sir hum bhi aapke chela hai.,positive
Such,neutral
Mast,positive
Muruk sundar,positive
आप लोग कल से ही धरना पर बैठे हम लोग भी जाते मगर हम लोग दूसरे जिले से हैं,positive
ये कितनी बार भी सुन ले.. मन नहीं भरता..इतना सुंदर वर्णन.. मन मोह लेता है। ये ४९ मिनट भी कम ही लगता है।  जय सियाराम 🙏,positive
Ye pure boards level padhate hai . Neet aur IIT jee ki tyari to door ki baat hai,negative
Nice job aap dono ki.....bsdk ye dislike kaun krta h bc....,negative
जय हिंद  जय भारत  जय बिहार,positive
Maa sarde par bhee banaiye bheya Jee sath hi ma Kali pe bhee,positive
धन्यवाद भैया जी बहुत बहुत बधाई,positive
Jabardast jhumar .nice,positive
राज्य के परिस्थिति के अनुसार कमाल का विडियो हैं भाई ❣️,positive
I appreciate your time and consideration for those students who are planning to be able..❤️❤️👍👍👍👍👍👦👦👦,positive
Sach me bhaiya aap log hi bihar sarkar ko aayna dikha rhe hai....  Love u from gaya,mix
JAY MATA DI,positive
Jay ho baba bhuiya  Pappu Yadav  chakhabib,positive
नींबू पर नींबू नींबू पर धागा इमरान खान के बीबी को शी जिनपिंग लेके भागा True lines by khan sir 😜 😜😝,negative
Ab tk ka sbse best video... Love u brothers❤️,positive
Bat sahi hai,positive
Ha,positive
"बेहद रोचक , कर्णप्रिय , सुंदर वर्णन , मैथिली भाषा भी बेहद खूबसूरत होती है.. कई बार सुना है इसे..💝💝💝",positive
Isiliye aap magahi film industry banaiye we supporting you  will  can get the change,positive
"Bilkul maza nhi aya, samjh hi nhi aya what is the purpose for this content. Kuch bhi bol diya aa kar. Throw of speech bhi acha nhi tha. Need more practice for this. But I support magadhi boys",mix
"लाल बहादुर शास्त्री को विष देने वाला मुस्लिम  रसोइया पाकिस्तान भाग गया था,जिसे इंदिरा गांधी आजीवन पेंशन देती रही थी, ""ये हर हिन्दू को पता होनी चाहिए""🙏",negative
Bhai gane ke bol aur Awaj dil ko chhoo gya  Thanx for presenting current situation of government and students,positive
Aap dono sach me yodha hai ..bhaiya... love you,positive
Aap dono sabse best ho,positive
हर देशभक्त को खान सर का समर्थन करना चाहिए ।,positive
Dil SE support hai bhaiya jii apko mere trf se🥰💚💜,positive
Kon kon 2023 me sun Raha hai 🚩 jay mata di,positive
Sunny Leone wala line.... Epic tha bhaiya 😅😂..   Kahin majak majak me aap yugal   bhaiya ka love life nhi na share kar diye Marde.. 😜😅😂,negative
"Jai Mithila, Jai Bihar, Jai Bharat",positive
Jay hind🇮🇳,positive
Jay govind ji maharaj ki jay,positive
"सबसे पहले जाति का देश में उत्पत्ति किसने किया हम तो एक थे लेकिन भेदभाव करना किसने सिखाया हिंदू किसने बांटा और अपने आप को श्रेष्ठ किसने माना ,.........",negative
Hello bhi nahi,negative
Jai mata rani,positive
"वाह भईया मगधी के अन्य धुरंधरो को साथ लाने को, जय मगध.. 👍👌",positive
असली बिहार 😇,positive
"भैया ये सब संविधान का कोई अस्तित्व नही रखा है, आने वाले समय मे यही बिहार की जनता जवाब देगी।",positive
Jeevika bihar ka soul hai,positive
"मै बेरोजगार...                       मै रोज के के 35 से 40 ट्वीट कर रही हूँ, साथियो आप भी जागो.. अभी नहीं तो कभी भी नहीं.. अभी लोहा गर्म है हथोड़ा दे मारो, हमें बीजेपी कांग्रेस से मतलब नहीं✖️हमें बस रोजगार चाहिए... दोस्तों आप चाहे जो भी राज्य से हो एक हो जाओ 💪हमने जो मेहनत करी है आज तक विपरीत परिस्थिति मे भी उसका हमें परिणाम चाहिए, दोस्तों अब ये कारवा चल ही पढ़ा है तो इसको मंजिल तक पहुचाओ... वैसे भी नदी कभी पर्वत से नहीं पूछती समंदर कितना दूर है.. दोस्तों अबकी बार pm ऐसा चुनना जो विवाहित हो, ताकि मन की बात पत्नी से कर सके, और हमसे काम की बात करे... दोस्तों जितना हो सके ट्वीट करो, मेरी बातों पर जरूर गौर करना दोस्तों, मै लड़की हो कर आपको जागरूक कर रही हूँ ➖️➖️➖️➖️हम देश का भविष्य है...                     सभी प्रतियोगी परीक्षा की तयारी कर रहे मेरे भैया दीदी से नर्म निवेदन करा है मैंने ❇️धन्यवाद 🙂🙏",negative
mzak mzak m serious baat kr gye bhaia aap,positive
"🚩 न जाने कहां तुम चले गए, सुशांत तुम बहुत याद आओगे 🚩",positive
Jhakasssss 😘,positive
बेटियों को भी सम्मान दिया जाय ये हम सब का कर्तव्य है,neutral
Video ka image dekh kr dislike kr diye bhai sorry,mix
Ek dam shi concept bhai.,positive
"बिहार पुलिस का यही काम रह गया है यदि कोई बाइक वाला अगर मास्क लगाकर नहीं है तो उसे झट से पकड़ लेती है और पैदल वाले लोगों के लिए कोई नियम कानून नहीं है यह सब सिर्फ पैसे की लालच में करते हैं काश इतना मेहनत करके अपराधी को पकड़ने की कोशिश करते तो,,,,,,,",negative
aap log nahsn hai,neutral
Bihari युवा को इसी सरकारी नौकरी के chakr मे बर्बाद किया जा रहा है. 28-30 हो जा रहा है सभी का उसके बाद कोई नौकरी भी नहीं और फिर कमाने लायक भी नहीं होता है,negative
Bhaiya ji AAP Nalanda University pe his trh video bnaye the Bihari no. One usi trh bnayee na ya bihar ke Rajneeti pe ya kisne brbad Kiya uspe btaye naa,mix
Full support bhai.,positive
बेहद रोचक तथ्य 💙💚💛💜❤️🥰,positive
gajab.......,positive
Maghdi  boy   ko   salam   h   aapke   jajbe   ko     sahayak police  ki   mang   100 % jayaj   h....,positive
Jay baba ganinath ki Jay,positive
bhai mere  STET .. also cancelled !! so sad !!,negative
चंद्रवंशी भगवान जरासंध जी महाराज पर एक वीडियो बनाइए जो नालंदा जिला में है ❤️❤️,positive
❤❤❤❤❤ No words for तारीफ,positive
वैसे यह दुर्गा पूजा के लिए है....  पर हम निवेदन करते हैं कि माधव जी जल्द सरस्वती माँ के लिए भी कुछ गाएँ,positive
"Very Good , Very Nice , Jordar Tamacha Dhire Se 👍",positive
Jay sita ram 🙏🙏,positive
नई सोच सही सोच सब पढ़ेगा सब बढ़ेगा 🇮🇳 बहुत बहुत धन्यवाद आपका 🎉,positive
Best friend parasite ki tarah hote h😂😂😂😂😀,negative
State or center dono ko tax km karna chahiye..,positive
मैं अपने ग्रुप मगद तैलिक समाज मे शेयर कर     दिया भाई बहुत अच्छा वीडियो👌👌,positive
Khan sir jindabaad ❤❤❤,positive
Hum samjh gaye sir aap kahna kya chah rahe hain Hum modi ji se namrata purwak request karna chahte hain ki khane-pine ki chiz ko v itna mahnga kardein ki uske jagah koi dusra option khoja ja sake Or garibo ko bhukha na rahna pare 😥,positive
बहुत बढ़िया प्रस्तुति,positive
रोना आता है और अब तो लगता है कि बिहार में पैदा हुए हैं कोई गुनाह हो गया है आज तक के इतिहास में ऐसा कोई भी परीक्षा नहीं हुआ जिसका पेपर लिक नहीं हुआ है,negative
Goli banduk .. Leke bisrajan karoge to yahi hoga  Na ..,negative
"अगर ये दूसरे राज्य में हुआ होता तो अब तक ______गृह मंत्रालय मामले  का संज्ञान ले रहा होता, ये सरकार हिन्दू विरोधी हैं, इस्लामिक एजेंडा चला रही हैं""  ,हिन्दुत्व खतरे में है।     ऐसा कुछ सुनने को मिलता और मीडिया अपना तंबू लगा, लाइव रिपोर्टिंग, चिला चिला डिबेट कर रही होती, अब तक ना जाने कितने नेता बहती गंगा में हाथ धो आते, कैंडल मार्च, शोक सभा, घड़ियाली आँसू ना जाने क्या क्या देखने सुनने को मिलता।",negative
Ye Lijiye Aapke Pyaar ne Vishwajeet Bhai Ko Video Banane Par Mazboor Kar diya.Aisehin Pyaar Baatate rahiye or Video Ko aage Sab Ko batate rahiye😊😁😘.,positive
Yadav akele 10 crore h bihar m to uske anusar profit milega n babu,negative
यह वीडियो काफी प्रसन्न शेयर करने कि वाकई में लायक है क्योंकि यह वीडियो में यह बताया गया कि समाज का एक नया मोड़ जो आजकल युवा हमारे बीच में भटक रहे हैं किसी गली में कुत्ते लेकर भटक रहे हैं तो इस से अच्छा है कि अपने घर पर एक गाय का बछड़ा गाय पालने इससे हमारे समाज में जो है कि काफी अच्छे से नया दिशा मिलता है तो आप दोनों को बहुत-बहुत धन्यवाद ऐसे वीडियो को देने के लिए हमारा मोटिवेशन हमारी संस्कृति को जगाए रखने के लिए धन्यवाद आप दोनों।,positive
Bhut mast  विश्वजीत भैया लव यू मै भी दिल्ली में यूपीएससी  का तैयारी 3साल से इसी हालात है हूं रूबरू मेरे पास   आप के वीडियो देखकर आख में आंसू आ गया है😭,positive
"Kisi ne kya khoob kaha hai:  Bujurgon ko kabhi alag mat karna, Patte ped me hi hare hote hai.  Perfect display bhai...proud to be Bihari. Jai Bihar. Jai Hind.",positive
इसी तरह संघर्ष जारी रखना है हमलोग हमेशा साथ है मग्धी बॉय की जय हो,positive
Ham to iss bhajan ko april me sunte है,positive
रूम लेने के लिए उतना पैसा ही नहीं है और जिस जगह से हम आते हैं वाह अच्छी शिक्षा का वेवस्था ही नहीं है लेकिन पढ़ना तो है न सभी को सब सुविधा नसीब नहीं होती,negative
Doshiyo ko saza dilwao...Chahe Hindu ho ya Muslim but Hindu muslim na karo abhi ek hokr corona se ldke ka wqt hai,positive
Name modi  Kam bakchodi🤣🤣🤣🤣🤣🤣 👍👍👍👍👍👍👍,negative
Jai  Mata di,positive
Ap k aawaj me saraswati ka virajman bahut sunder gaati ho Like u,positive
भाई जी गया से प्रणाम 🙏🙏 कर रहे है।,positive
Bihar ke liye ek like❤️❤️ 👇👇,positive
आप मैथिली व्याकरण के आधार पर बताते हैं हम आपसे आग्रह करते हैं इस तरह का वीडियो बनाते रहें। हमारे दिल में मैथिली सीखने की बहुत बड़ी तमन्ना थी‌ आपके वीडियो से साकार हो रहा है।,positive
Jai magadh jai bihar.,positive
Khan sir zindabad,positive
"बिहार का लोकतंत्र  आजकल बिहार में लोकतंत्र का महापर्व चल रहा है। लोग अपने क्षेत्र के सुदृढ़ भविष्य के लिए जनप्रतिनिधी चुनने वाले हैं। लेकिन एक विकृत सोच जो जनमानस के मस्तिष्क में इन नेताओं ने समाहित कर दिया है कि जनता खुद अपने विवेक से इनका मूल्यांकन करने में असमर्थ है। जहाँ सत्ताधीशो के काम कि विवेचना आलोचना होनी चाहिये वहां लोग इनकी चाटुकारिता कर रहे हैं। पहले के समय में जैसे चाटुकार दरबारी अपने राजा की हर स्थिति में प्रशंसा करते थे चाहे उसका कोई कार्य या निर्णय गलत भी हो वही स्थिति कमोबेश आज भी है। आज के नेता दुसरे की लकीर को छोटा करके अपना लकीर बड़ा साबित करने में लगे हैं। अपने कामों से लकीर को कितना बड़ा किया इसकी कोई चर्चा नहीं है। कुछ लोग कह रहे हैं कि 15 साल जंगल राज था उनके बारे में क्यों सोचे। पर उन्हें ये ज्ञात नहीं कि उनके गलत कार्यो का प्रतिफल जनता ने 2005 में दे दिया है। क्या कोई पांचवीं कक्षा में बहुत खराब अंक लाए तो क्या उसी को ध्यान में रखते हुए उसको जबरदस्ती दसवीं कक्षा में भी खराब अंक दें। कोई कह रहा है कि सत्ताधीश ने सड़क बनाया बिजली दिया। तो उन्हें मैं बताना चाहता हूँ कि उनके सही कार्यो का प्रतिफल जनता ने उन्हें 2010 में जबरदस्त बहुमत दे के जताया है। कहने का तात्पर्य यह है कि अगर कोई सातवीं कक्षा में बहुत अच्छा अंक लाए तो क्या उसी को ध्यान में रखते हुए उसको जबरदस्ती दसवीं कक्षा में बिना उसका मूल्यांकन के उसको अव्वल अंक दें। कुछ लोग कह रहे हैं कि उनके पास विकल्प ही कौन है। तो मैं कहता हूँ कि नये लोग भी हैं। तो उनका जवाब होता है कि उनके पास अनुभव नही है। ये सब तो बस बहाने हैं। अनुभव तो तब होगा जब हम उन्हें मौका देंगे। अनुभव से बड़ी चीज होती है काम करने की नीयत। अगर किसी के पास राजनीति का अनुभव है पर काम करने की नीयत नही है तो वो अनुभव किस काम का। लेकिन अगर किसी के पास काम करने की नीयत है तो वो अनुभव भी प्राप्त कर सकते हैं। फिर वो कहते है कि कैसे मान ले कि नये लोग की नीयत अच्छी है। फिर मैंने कहा कि उन लोगों ने जो मुद्दे उठाए हैं वो किसी ने पहले नही उठाए हैं। जैसे हमारे कल-कारखाने क्यों बंद हो गये।उसको खोलने की कोशिश क्यों नहीं हुई। हमारे लोगों का जीवन स्तर क्यों नहीं सुधरा। लोग पढाई, दवाई, और कमाई के लिए पलायन को क्यों मजबूर हैं। अगर ये मुद्दे पुराने नेता उठाएंगे तो उनकी अपनी ही पोल पट्टी खुल जाएगी। राजनीति में नये लोगों ने भी अच्छा काम किया है। जैसे आन्ध्र प्रदेश में एन टी रामाराव, दिल्ली में अरविंद केजरीवाल । बाकी हर चुनाव नया होता है और चुनाव के कटघरे में खड़ा सत्ता पक्ष होता है न कि और कोई। हम प्रजातंत्र हैं और सारी शक्तियां हममें निहित है। अगर हम गलत लोगों को चुनेंगे फिर हमे शिकायत करने का भी हक़ नहीं होगा। बाकी हर व्यक्ति का अपना मत और विवेक होता है और लोकतंत्र में सभी को सहमति और असहमति का अधिकार है।                  धन्यवाद   चन्दन कुमार सिन्हा",negative
"बहोत बढ़िया मागधी बॉयज,आप अब बिहार के अलग-अलग छेत्र...जैसे सीमांचल एरिया,मगध एरिया ऐसे सब एरिया का विशेषता बताते हुए वीडियो जरूर बनाएं।और देखा दें बिहारी की हर विशेषता को",positive
आबाज उठाने के लिये ❤️ से बहुत बहुत धन्यवाद भाई ! ❤️जियो बिहार के लाल❤️       हम आपके साथ हैं,positive
चाचाजी चाचीजी को प्रणाम 🙏🙏🙏 बहुत अच्छा लगा तीनो को एकही फ्रेम मे देखकर,positive
मागध छेत्र की सान🤣😂,negative
बहुत बढ़िया फिल्म बनाया माधव भाई आप आप जैसा भाई सभी को देना चाहिए भगवान को🙏🙏🙏👪👨‍👩‍👧👨‍👩‍👧‍👦👨‍👩‍👧,positive
Public kuch nahi bola gii .. 😡😡,negative
Shukriya Jehanabad Ka naam Lene k liye ☺️,positive
Jupiter me padhai ke alawa sb kuchh hota hai. Aisa scholarship ka v kya kre jb padhai hi nhi hota hai sahi.,negative
Ab khan sir ke upar bhi video banaiye bhaiya,positive
Ab baat kisi ek k liye nhi sabhi ladkiyo k liye socha hoga  Pehle log dahej k liye beti paida nhi krta tha or ab is dar se paida nhi krenge ki kahi rape na ho jaye,negative
Same mere sath hua bro💔💔💔💔,positive
"बिना जोड़ी के मजा नहीं आता है, वैसे वीडियो अच्छा है ""त्रिपाठी जी पाठी खोजे गैल हथी 🤣🤣🤣",positive
Bhaiya  exam pr video banao n plz,positive
इस बार बिहार पुलिस का कट ऑफ बहुत कम जाने वाला है क्योंकि क्वेश्चन बहुत हार्ड था,negative
Wahh 🙏🏻🙏🏻,positive
भइया जी हम जात से भूंजा भुजने वाला है हमारे यहाँ भूंजाता है कांडू (saw),neutral
Bahut hi badhiya story h bhaiya..dil chhu gya💞💖,positive
ये जाते भी तो अपनी गलती की वजह से जाते लेकिन काश डिभाइडर के जगह कोई आदमी होता तो वो तो निर्दोष मारा जाता सिर्फ और सिर्फ ऐसे लोगों की वजह से खैर ये ठोकरें इनके लिए और इन जैसों के लिए सबक है,negative
Knowledge ke sath sath entertainment dono maja ❤️🙏🙏,positive
Sonu ko log sport kr rhe hai achhi bat hai  Lekin Sonu ke jaisa Bihar me bahut se bache hai  Unko bhi sport ki jarurat hai,positive
he gopal kishan kru arti Teri,neutral
Kya भाई नाक में नींबू डालने से कोरोना ठीक हो जाता है क्या  नाक में डालने से कोई हानि तो नही होगा ना Plz बताइए,positive
Super song jai maa gahil,positive
Bs aap aage badhte rho bhai..... हाथी चले बजार कुता भौंके हजार,mix
Karyapalak sahayak pidit jati ...... Beltron pidit jati...... Chamki pidit jati..... Inceflitis pidit jati,negative
"Shuruaaat Achhi Hai ,  actor log bhi achha select Kiya Gaya hai, Acting v achhha Kiya hai,mujhe ummid aap log ek Achha Film Bnaane ka Kabiliyat Rakhte hai aur Ek Din Ek super Hit film denge.jay Javan Jay Kisan jay Bihar",positive
Starting mei thora up down rhta h but next time aur perfect ho jayega. Keep on doing👍🍁otherwise Ladki khubsurat hai or acting v achha ki💝,positive
Good camera work and voice record...specially thanks thans to cameraman....script bahut achhi hai....lage rahiye bhaiya,positive
Tribac jaisa institute koi nhi h Patna me,positive
Bhai  Bam bhola Baba se meri prarthna h ki jald se jald millions me like pahuche   Super duper se bhi upar ho aaplog Yaar   Aapki singing kamaal h Bhai,positive
CID v fail h aese tahkikaat karte ho bhai ....,positive
#जय हिंद #वंदे मातरम #भारत माता की जय🇮🇳🇮🇳🇮🇳❤ #Love From #Muzaffarpur Sir❤❤🙏🙏,positive
सही बोलें हैं युगल जी हम भी भुक्त भोगी हैं इस समस्या से आज आपने वीडियो बनाया है। लुटता है CO और BDO,negative
😂😂बहुत बहुत बढ़िया भाई.... Love from bodhgaya ❤,positive
Ye sirf ek manbhavan geet nhi balki hamari maithili sanskriti ki amulya dharohar hai Jai mithila Jai maithili Jai shree kishori ji 🙏🏽🙏🏽,positive
Plz 🙏ek video 10th 12th exam postpone ko lekar,positive
ये क्या बोल रहे हैं आप?!!!!🤣🤣🤣💫,negative
Jay magdhi boys jay purnea jay bihar🙏🙏🙏,positive
Jugal bhaiya bol rahe the ...hmko lga ....ki Google bhaiya jindabad 😂,positive
जय मां शेरोंवाली,positive
"Are tumlog Kitna v bol lo , अंधभक्ति तो मोदी का ही करोगे।",negative
Kya aap dono nalanda district se hai ?? Video ka accent sbse behtreen hai bhaii. You are awesome.❤,positive
"हम लोगो को सरकार बहुत पीड़ित कर रही है, मनमानी ढंग से बहाली पर रोक लगाई है please अपने चैनल द्वारा एक वीडियो stet 2019 scam पर बनाये....",positive
सिकंदर कैसे हालात के आगे नहीं झुकता तारे टूट भी जाए तो जमीन पर नहीं गिरता गिरते हैं हजारों दरिया किसी ना किसी समंदर में लेकिन कभी कोई समंदर किसी दरिया में नहीं गिरता,positive
Thanku so much bhaiya....👏👏👏,positive
Yugal:- Ye kya bol rhe hai aap. Vishwa bhaiya:- Whi jo aap sun rhe hai 🤣🤣🤣🤣,positive
दिल को छू लेने वाला वीडियो.🙏🙏,positive
Dil sa jai Mata Di 👌👌👌👌👌👌👌👌👌👌👌👌👌👌,positive
राजगीर के पहाड़ियों में भी रॉक क्लाइंबिंग रोप स्लैदरिंग सेफ्टी इक्विपमेंट्स के साथ कराया जाए तो टूरिस्ट को एडवेंचरस भी लगेगा और युवाओं को रोजगार भी मिलेगा।,positive
Rajeev Pratap rudhi ambulance 🚑 pirit jaati ye kyu chor diya kyuki ye rajput tha isliye 😂,negative
"Kya beautiful voice hai mere bhai,   Nigam bhi peeche choot gya  Jeeta rahe mera bhai...",positive
Bhaiya... Aaj apka awz sun ke... Jabdast... Jaindabad....,positive
एकदम सही समय पर सही प्रस्तुति,positive
ट्वीटर में कितना गियर होता है?😊😊😊☺️😊 मजा आ गया।,positive
Jay mata 🙏🙏,positive
मै - हम तुम - तू इन दो शब्दों का मैंने बोला है । नहीं पता था कि ये मैथिली भाषा के शब्द है। हम तो बिना जाने ही मैथिली बोल रहे थे ये 🧐जानकर अच्छा लगा ।😂 मैथिली बहुत प्यारी भाषा है।👍👍👍👍🙏,mix
madhav bhai aapko dil se thunks,positive
Jab Tak SAI me sports person secretary position pr nhi aayege tb to indian ka sports m kuch nhi hoga,mix
Love you bhaiji. आपलोग बिहार के प्रतिभाओं को खोज खोज कर उभारने का काम करते है।जिससे हम युवा को आगे बढ़ने का हिम्मत और ताकत मिलता है। 🙏🙏🙏🙏🙏,positive
bhai mai BHU se research scholar hu . tum bhaiyo  ke iss pahal ko salam hai .  ham magdhi boy ko apne supervisor se bhi share krte hai . excellent effort .,positive
जिया बिहार के शेर 🙏❤,positive
"अति सुन्दर प्रस्तुति , ऊ सब ता ठीक हाओ जलेबी खिला दिहा भागत भागत  हलुआ टाईट हो गीलो ना ता बिपुल भाईबा बड़ी पिटाओ 😁😁😁 चिलोही लेके बास काटे गेल हते युगल भैया 😁  जय हो विपुल भैया,विश्वजीत भैया,युगल भैया,❤️❤️❤️❤️ भारत माता की जय🇮🇳🇮🇳🇮🇳🇮🇳",negative
Haryana se amit bhadana Bihar se magadhi boys. 🤣🤣🤣🤣,positive
Gjbv,positive
शत शत नमन सुशांत ब्रो।।।भगवान आपकी आत्मा को हमेशा शांति दे।।😭😭😭😭।।,positive
मज़ा आ गया 🙏🙏🙏🙏 खान sir जिंदा बाद🙏 जाय हिन्द sir🙏🙏🙏❤️❤️,positive
Maithili Sanskriti ko bacha kar rakhane ke liye Thanks Thanks.........    ..,positive
बाबूजी को मेरा सादर प्रणाम और मुझे पहले ही विडियो में पता चल गया था कि  बाबूजी है । अच्छा लगता है देख कर के गांव में भी रहकर के इतना जागरूक रहना और बाबूजी का आशीर्वाद हम सब पर बना रहे । ❤️❤️,positive
श्याम देहाती जी का लिखा हुआ गीत है।,positive
Patna me shoot...waooo proud of you ❤️,positive
बच्चो को जो रोबोट बना दे वैसी शिक्षा से अनपढ़ रखना ही बेहतर,negative
Khan sir ham students k liye bhagwan saman hai  We love khan sir ❤️❤️❤️❤️,positive
तारीख- 5 सितंबर समय- 11 AM स्थान- TWITTER #SpeakUpForSSCRailwayStudents #rrbexamdates #railwayexamKarao,negative
बहुत सुंदर मैथिली गीत है,positive
Sanuj,neutral
